,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,elev_high,elev_low
90,2,Evening Activity,0.0,2629,2629,0.0,WeightTraining,WeightTraining,6978165589,2022-04-14T00:27:52Z,2022-04-13T20:27:52Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,141.0,161.0,False,True,7426259019,7426259019,garmin_push_8634706531,False,0,0,False,37571002,1,a6978165589,,2,,,,
91,2,Afternoon Run,5033.8,1502,1773,31.7,Run,Run,6977601279,2022-04-13T21:28:44Z,2022-04-13T17:28:44Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[33.782728146761656, -84.37246640212834]","[33.78292319364846, -84.3800184968859]",3.351,4.259,True,164.4,180.0,False,True,7425655222,7425655222,garmin_push_8634150866,False,0,0,False,37571002,1,a6977601279,_eemE|~}aORh@VP`@K|AM@CAsAQcJ?o@Fs@@cA?_BEq@DY?_@@ER[`@Ur@q@PSLa@d@Kf@_@`B_A^W`A}@h@Y|CwBf@QvCs@rAS`Co@pAQx@QvASjAUdAIzASsAHaAVwDj@qFlAq@FgEdAc@ZiA`@ULcBlAq@ZiAz@[^w@l@{@v@Gn@EB[Ha@Rg@PIDUVNPGZMbDBxGCpCUl@@\Kj@_@Li@Cm@?EBGH?JTx@CJuAhBa@z@c@jAc@lBBr@Et@Bv@GxADn@DtBCh@O|@Sh@g@l@[XWKa@gAYk@MiAADDPp@lBLt@EtENt@d@Pr@Lb@d@THx@f@X^Rf@,2,,79.3,281.3,265.7
93,2,Night Activity,0.0,999,999,0.0,WeightTraining,WeightTraining,6967915700,2022-04-12T03:17:09Z,2022-04-11T23:17:09Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,105.2,136.0,False,True,7415172293,7415172293,garmin_push_8622794505,False,0,0,False,37571002,1,a6967915700,,2,,,,
96,2,Night Run,3594.1,1113,1162,0.0,Run,Run,6938328651,2022-04-06T03:37:08Z,2022-04-05T23:37:08Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.229,3.68,True,152.1,169.0,False,True,7383151312,7383151312,garmin_push_8588806831,False,0,0,False,37571002,1,a6938328651,,2,,77.8,,
97,2,Evening Activity,0.0,308,308,0.0,WeightTraining,WeightTraining,6932702476,2022-04-05T00:09:58Z,2022-04-04T20:09:58Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,121.8,136.0,False,True,7377120882,7377120882,garmin_push_8582395577,False,0,0,False,37571002,1,a6932702476,,2,,,,
98,2,Evening Activity,0.0,2627,2627,0.0,WeightTraining,WeightTraining,6932662071,2022-04-04T23:22:17Z,2022-04-04T19:22:17Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,124.1,153.0,False,True,7377077564,7377077564,garmin_push_8582354671,False,0,0,False,37571002,1,a6932662071,,2,,,,
99,2,Evening Run,4832.6,1478,1512,19.4,Run,Run,6928266914,2022-04-03T23:10:29Z,2022-04-03T19:10:29Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[33.78269704990089, -84.3798850569874]","[33.78420319408178, -84.37816576100886]",3.27,4.658,True,171.2,180.0,False,True,7372320780,7372320780,garmin_push_8577107439,False,0,0,False,37571002,1,a6928266914,ydemEhm_bO[Mc@c@k@W]o@i@OQI_@_@y@i@]IE_@JiBPw@Vc@^k@XUNSRk@B_@CgBHsEEi@?k@LwALi@Lu@h@wAhAsBPg@?YOa@@KFKZKdAH^OBGI{@W_BEw@^oBBUCa@S]Yc@IG]Ig@Bo@d@KZMx@YlAS`@a@Xm@Dc@KmAu@a@Gc@HIDy@p@IHGtAD`ALj@R^\^`@Th@Np@Jn@IbCAj@U|@s@^EXHj@ETS@a@Ok@Uo@I_A@q@\oADm@Ks@[e@m@Gc@Fg@VSZQ`@a@pBWX_@RSDg@A]Qs@c@g@Ge@J[ZYNYh@Ej@Dj@Hh@R|@l@x@^Rb@JnAQf@AnADh@IRI\SPBRZHf@]|@]\k@dAq@rBWjAElABrDElAIj@D~AKb@QT_AlBORIBWk@_@k@SSoAo@OYBc@Ra@J]Fe@@o@Cs@Q_@_@c@k@Y]Ki@Gm@OsAQoBc@c@?i@Fc@RSRWf@Oj@A`@Bv@Ph@Xb@d@d@d@Zh@Vb@N|Cl@b@@p@Gd@K\O`@W`@m@Nm@Bc@E@?DAXKj@Yd@G\@FTRb@P`@Vh@d@JLPp@?`@Kh@,2,,78.8,281.6,264.0
100,2,Evening Activity,0.0,1942,1942,0.0,WeightTraining,WeightTraining,6928139188,2022-04-03T22:28:38Z,2022-04-03T18:28:38Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,115.9,146.0,False,True,7372181053,7372181053,garmin_push_8576974376,False,0,0,False,37571002,1,a6928139188,,2,,,,
102,2,Evening Activity,0.0,496,496,0.0,WeightTraining,WeightTraining,6922422383,2022-04-02T22:21:08Z,2022-04-02T18:21:08Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,129.3,146.0,False,True,7365951554,7365951554,garmin_push_8570582454,False,0,0,False,37571002,1,a6922422383,,2,,,,
103,2,Afternoon Activity,0.0,1947,1947,0.0,WeightTraining,WeightTraining,6922395113,2022-04-02T21:47:58Z,2022-04-02T17:47:58Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,123.7,158.0,False,True,7365921537,7365921537,garmin_push_8570553205,False,0,0,False,37571002,1,a6922395113,,2,,,,
104,2,Night Activity,0.0,2539,2539,0.0,WeightTraining,WeightTraining,6918011296,2022-04-02T02:14:25Z,2022-04-01T22:14:25Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.3,162.0,False,True,7361127773,7361127773,garmin_push_8565523899,False,0,0,False,37571002,1,a6918011296,,2,,,,
106,2,Night Activity,0.0,3965,3965,0.0,WeightTraining,WeightTraining,6914025621,2022-04-01T01:24:39Z,2022-03-31T21:24:39Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,110.3,154.0,False,True,7356799232,7356799232,garmin_push_8560780231,False,0,0,False,37571002,1,a6914025621,,2,,,,
